text,label
Chyba vyjadrenie Kollara markiza takto robi spravodajstvo,0
hajzlici strach vakciny ludi idete zabijat,0
vyznam nadrbat chorych zdravych stretnu testoch cudujeme tolko tolko nakazenych Keby nenaseru miliony ludi testy nestane pokazili treba par krat zarobit hovorit stretnu nakazeny zdravy jedine pomoze jebli niekto mysli,3
vlastne svedomie karma dobehla SMERacky zm d keby zil poctivo nespolupracoval mafiou neriesime sr cky den dookola zaujima svateho vyhlasia dpc,3
poslancov zvedava zvysnych poslancov zaockovania brat rovnaky meter obycajnych ludi neustale niekto vyjadruje nedas ockovat nebudes Peknych hlupakov robite svetlo konci tunela,0
Klasika typicke Slovensko netreba cudovat,0
spinavy zmrd chcel svete lepsie,3
pichli viagru ciciny,0
Boze chudak,1
zdravie Borisko,0
Hovado charakteru,3
Chory,1
zomrie aids,0
vyserte smeruje pozornost ide energia,3
Chory cely Matovic liecenie chod,1
Boris nova transka,0
Dokedy chceme takto pocuvat nechat Blazna urazat totalny Diktator ist nohy dole hlavou Sam prehlasil ctymi testami nedal psovi urobit vyter robi poslusne stado takto rozhodol hra city ludi umierani Covid skoncit ludia zobudte,1
Kolikova odstup,0
Dobre urobil,0
olympionikov vakcinu nemame niktosov kedy kolvek,0
general obycajna spinava svina nechala podplacat necudujem roky nahrabal tolko penazi skoda nestihol niekto odjebat skor urobil sam presne spiny umieraju Jan Martina nehovorim presne lucanskeho podobne pripady,3
uplny chudak pekneho slova niet,1
pichali,0
Chudacik sedel poslusne hykal pohol krkom,0
vselico nevychadza pan premier Najprv ludi strasite den koronou cuduj svete divite spravaju spravaju Namiesto upokojili arogantne okomentujeete danu situaciu Necakam zazraky niekedy lepsie drzat hubu,1
vypustit eteru prizemny debil nevazi sam neuctive vsetkym mena zneuzite chce niekto honit ego mrtvych necha napokoji,3
Nema slov vysmievat narodu pada kolena vdaka moci podporuju zas skorumpovani blazni raz spominat dobrom urcite nebude,1
kastrovat,0
Bodo chlap Treba ockovat najskor ludi skladaju platy ludi robia hanbu rozkradaju republiku,0
Sak neni normalne ludia robia sat ulavit pobytu Oto chore ozaj dobre dal,1
dal zaockovat Rasi Kalinakovi nevadi,0
chory hlavu jeden arogantny primitivny sedliak Boh ochranuj Slovensko,1
VIP,0
vazne opytat niekto blbost niekto veriaci nemusi kotulat kopcom rano Nedelu kostola,1
Boze atrapa,0
sazaockovat sputnikom hajzel vedel teraz predbehol dufam necha zaockovat sputnikom pankhartov,3
,0
skapal Frankestein,0
Velmi neobycajny Matelko,1
zasluzi doteraz x ockoval uspesne,0
tolko nazvys zdravotnych pomocok spravodajci idu dokaze obcan dostat zdravotnik resp pomocnik pracuje nejde test negat povedali negativny test neznamena virus nemate vazne urobit vsetkeho clanok Vsade kvoli pichnut,0
Nemusi rehotat cudovat rozda zadarmo jtobia inde chaos zasa sposobil Krajci Matovic PAT MATdvaja nesikovni majstri,1
dal Suhlas Fotky,0
Anicka uplnu pravdu hlave nema poriadku ist preliecit mimo reality,1
Klobuk dole lekarmi celym zdravotnickym personalom nemaju lahke prajem vela sil,0
Matelko dost veci nevychadza,1
Chudatko korona dostala dementneho Blahu dufam korona najskor dostane nebude trpiet rozpravkara nevie povedal jedine ide Hranolovi lizat vajca,2
papalas podarenej rodiny,1
kamera svetlo komparz klapka ide,0
chudak,1
Pani Kolikova skvela Gauneri opozicie neskutocne boja Drzim palce,0
vsade obleky hovoria covide,0
Cibulkovej volali nevadi pandemia bezavadzajte takychto somarinach Pokusl prachaci cestovat moru vsm nikdy neuverim pandemia zla,0
Neni LSNS ponizuje omyl prirody ludi volicov cisty suteren,1
vysmech zumpa Trump proti jahna Hajzli vymrdani bohu prisaham naserem hodim Pelemu vsetkych trafi slak,3
Chudak zdravy diagnozu Cely prejav vyjadrenie luto rodina dat liecit nema,1
Keby milionov miliarda dala vlada dementovica zdravotnictvava davno vodou Lenze zas Vianoc testovatVerte drahy Slovaci,0
Chudatko chore odstahuje Slovenska nenavidi ludi,1
takto siri covid media zgustnut priamo utrpeni ludi izbach oddeleniach,0
ksicht svedci demencii,1
skonci kovid vysielat,0
pripade plati ksicht charakter,1
Dakujeme,0
pohlad dava vela otazok hned odpovede Postihnuty chudak riesi komplex Viem peknej prazdnej misi nenajes deravej vytecie pripad,1
nekto kamere nachadzat Dunaja,0
keby navstivili onko oddelenie nasli pandemie zdravotny personal pracuje cely rok maximalnom nasadeni dni kedy nemaju cas napit vody,0
chudak odcudzujes ludi osobne nepoznas nevies petris pozri zrkadla pochopis mater hanbit ludsky srot,1
Staci pozriet ksicht staci,1
Mainstreamove dristy,3
omyl prirody smradi,1
dik info,0
Novinarov medii,0
Dvaja klamari fakt svi,1
omyl prirody,1
Zacnite liecit,0
KEBY HLUPOST KVITLA SAMI PICHLIAC TFUJ,1
nedate pokoj,0
pridu kokoti teraz takom case skoro zabudlo ucit Fica cudo trva dni troch dnoch zabudne prihananie,3
Novinari vsade,0
zaujimalo podeli choroby chripka rakovina kovid,0
Chodte navstivit detske onkologicke centra zaujimave Zrazu covid rok vlastne nikto neumrel clanky hovne tisice chorob ludia trpia umieraju Vzdy smutny pribeh,0
kebi ludzom pomahali odjebali zdravicko jim sanuja davac lieki nezomierali bi tolko ludi,3
dvaja plucnej ventilacii ostatny,0
neskutocne rozculila spravach vynimky dava dement Mikas Sak nevadi nakazit kolko ludi chce zle ludi chcu zodpovednost idu uzasnym prikladom,3
slusne nanho tazke detsvo polutovat chudak rychlo natocil film zaraba smrti dvoch ludi neide smer prachy,1
Vipnite naveky ament,0
Cela Markiza chora,0
Markiza,0
pozrite vlastne luto robi hanbu zidom korene hrdym Madarom bohuzial vychodniarom narodil nuz hlupost dar bozi,1
vobec odvazila vstupit,0
Podvod storocia korona,0
Prajem vsetkym doktorom vela sil energie zdravia,0
blazna posadit kamery,1
teras chote pozret revucej spravte reportaz,0
vyjadrenie nepaci treba pozriet cele video zostrihanu cast,1
Nemaju,0
vcera chlpati zastavili Lidlom papier pytali pytali papier pytal nasrte prestali otravovat pustili dalej ukazovat papier nemali davat testovat koot robit kvoli ochrane okolia nakazit fizla papier nema Inak papier prd platni Obcianku nemam dovod ukazovat nema vediet Lidl najblizsie potraviny byvam km fizel pravo legitimovat podozreni spachania priestupku trestneho cinu ignorujem nariadenie nejdem najblizsich potravin priestupok nariadenie trestnom zakoniku,2
niekto divi niekto povykruca usi omyl prirody Pezinku,1
trapny portal davno zrusit blokovat trapny normalne neviete vypustit eteru nazov Zomri hnus,3
zobrazuje ksicht Puce da vymazat,1
Podaj prst schmatnu celu ruku zachod niekto pojde pytat negativny test Matovicove ovce boha clovek nevidi zelenych dpc,3
robit niejako uhrat ach keby stalo byvalej vlady stalo terajsej ticho vlajlu ciernu nevyvesili hanba p Matovic teraz nevyskakujes,2
spravaju obcania uplne nepristupne sprisnit infikovany sirit chorobu zdravych Nikdy nevyleci,0
Zrazu jak cas kontroly nedavnem rikaly malo zrazu jak svaby,0
POLICIA CHRANIT POMAHAT IST PROTI VLASTNYM SPOLUOBCANOM BUZEROVAT OBMEDZOVAT SLOBODU PAPALASI NARIADILI ZIADAJU LUDI NAJPRV UKAZU,0
jednej strane sprisnilo MZ podmienky podmienok ist obchodu pozitivny nemaju narok druhej strane obchodu pustime test nemaju policajti pravo kontrolovat fakt poriadnom kocurkove mozne dve nariadenia vylucovali ludom chvilu sibne,0
hubenku povykrucanu volacim riadenim musel prejst chudak,1
holy kkt,3
Treba pytat neg test,0
nespytate pravo psycho vladu jebnut,3
Najlepsie bi testovac vstupom vyjdes obchodu nepochopim jak niekoho bavi,0
chory pomozme chudacik,1
nechapem problem ist test Radsej zas radsej pomiesa hovna podpori blahovica,3
Neplati potraviny kupit testu,0
Jojo Dodo kanala pojdete akurat fuhrerom,0
rovno gulku hlavy,0
Zebrak jeden dieta incestu,1
Neviem pravny sposobily pravne ukony D,0
nemaju pravo vynimka c neumoznuje treba vynimku odvolat strazcovia overia treba upozornit vynimke pani policajti oboznameni staci povedat vyuzivam vynimku c mudri vedia bohuzial zistia zbytocne zastrasuju otravuju ludi,0
Nemaj vubec toje kokoti,3
Pocuvaj smrad vyprosujrm slovakovi akejkolvek pozicii systeme nadaval nepaci zmizni tolerovat,1
Policejni stat,0
Sluchadla usi Pridam hlas idem,0
Novodobe Gestapo,0
zvedavy chore myslienkove pochody posledna nula natocena,1
Urcite osobna vec,0
fuj,3
Kontrola nekontrola,0
Lucansky cela republika hore nohami,0
Slovaci zobudte Vlada urobila stado oviec,0
Slovensku neskutocny bordel Ziadne pravidla vynimky davaju vyhovuje Chaos bordel hlavu Premier ponuka rodinu lajky padne vlada smiech slzy,1
Omyl prirody,1
riadny trapko,1
vodica autobusu nepytali kluce,0
ludia nerozumiem vkuse riesite Myslite policajti robia nudia Nechapem nenavistne komentare voci policajom vykonavaju nariadenia vlady,0
Chory clovek,1
Fakt jebnute hlavu,3
najvacsi CHUDAK,1
odomn pital pitala praci pozitivny,0
Nemaju metre Odfotit podat staznost porusovanie nariadenia vlady nudzovom stave verejnymi cinitelmi,0
Hned povedala m odstup siritelia nakazy zatial nakup ist pozitivne osoby pondelok,0
cudo krivy ksicht emigrant vlastizradca,1
pojdem obchodu kontrolovat poviem idem kupit kondomy bojim nenarodili kokoti,3
liberalne prasa niekto zamestnat nieje clovek presne takto adolf predstavoval velitelov osvietimu chore prefetovane dementne progresivne prasa,1
stale najdu idioti veria,3
zakroky kedy,0
bizardnostami chcu prekonat SNS sakra ide,1
pytala test preukazu,0
Omyl prirody prasa,1
kontroluju aspon niekto robi pokynov cele slovensko robi chce nedodrzuju ruska dezinfekciu ludia idu nakupovat miest povedane najblizsieho obchodu vlasnom meste pozitivni nehovoriac supermarkety porusuju pokyny vstup predajne obmedzeny kosiky aspon krat dezinfikovat den,0
prasaci ksicht vyjebany mater prehltnut radsej,1
matovic bytostne neprekazal doteraz sak stipku rozumu egoista chrani okolie dodrzuje pravidla vyhlaska upravovala ucast covid pozitivnych poslancov hlasovani predlzeni nudzoveho stavu prehltol konecna sulik polozi matovica chujovsky papalasizmus celej Boriskovej particky matovic toleruje podporuje dakujem,2
Vlade cisto jebe,3
Grc,3
Blaznia ludi bali nakup ist testu Ludia otvorte oci,0
Dufam dodrzuju odstup m,0
nikto nehneva dochodcovia vyhradene hodiny nerespektuju pardon nepustaju obchodov daju pokutu aspon eur sorry ostatok respektovat dochodcovia nemusia robite idete poobede najviac ludi ide prace nakup polovica dochodcov rano hore nepojde nakup mudrovat,3
papalasizmus hyenizmus,3
ockovat pojme armadu,0
debilnu vladu pusti pozitivnych ludi obchodu dementi vladnu natvrdly buran pouzije vojacikov zasobovanie potravinami pozitivnych ludi,3
test ukazem nemam test neukazem rozumne volam clanok,0
keby sracku zachode ties pitali papier Nerozumit halooo nerozumit,0
zvysok kludne zomriet hanba,2
Francii excelentnejsi hrom peklo,3
idiot schopny rozputat nevymachanou drzkou vojnu,3
Ukrajinsky nacisti aktivovali nejak rychlo,0
Humus,3
netrepte nezmysly takych napisov sprejerov najdete vsade plno trafit ziveho kontraproduktivne Krym Tatarov Podkarpatska Rus ruska ukrajinska nestastny vyrok vtip,3
Mimochodom kludne mohli vratit Zakarpatsku Rus Slovensku dodnes nechapem Slovensko nenarokuje,0
daj otestovat kompletnost somar sprosty,3
neprijemnu dohru zvedava pan premier ponesie nasledky,0
clovek politike nema vobec robit Zahanbuje Slovensko vsade pride Naozaj zamysliet ukoncit trapnu politicku karieru,0
chore hovoria deti spokojne Uzas,1
dopady niekto vezme susto nevie pozut zaciatku same preslapy vela ludi pisalo nik mudry neba nepadol atd Zial keby ucil konca zivota nema ziadnom smere postuCele posobenie politike istom teraz vystupovanie premier vazit slova reprezentovat nasu vlast dopada takto myslim nekonci Raz jeden pan pisal povedat studovala sposobila vedel posudit nazor relevantny hodnotila myslim vyjadrit nazor zatial snad teraz hodnotia okolite staty moc lichotivo zial bohu velmi smutne dokaze jeden clovek sposobit nerozvaznostou,2
pozic vrat,0
neg zajtra poz palicky jebe ludi magor,3
vobec normalny strach dosledok choreho trnavskeho strasenia prostrednictvom druziny diktatora Chovate nepricetni keby islo posledne minuty zivota Zdravi blazni chori tlaceni cakaju spasenie injekciu zblbnut zblbnuti narod hrozne vobec pozerat nadarmo hovori narode velmi nizkej dusevnej urovni,1
Ludska hlupost nepozna medze,1
,0
prekvapena nevadi detom rodicov dovolia takto ist nakazia hrozi daju zaockovat nevysvetlila starostovia primatori takto dovolia jedno,1
daju takoho magora keby cela vlada skoncila us konecne peniaze kupuju blbosti ludia nemaju jest keby vimenily chudobov zivoty rozkazovat bozi sud pride sudeny,2
Ukrajinci pochybujem Bulvar nema hranic rozdiel nevie spravat premier nejaki chuligani,0
ludia nenakazia tlacit hlava hlave hlavne respiratori zachrana spasa obchode posilke prevadzkach zatvorene nezmyselne opatrenia nakaza siri zamyslite ludia ovce jeden baran zaveli skacete ovecky smiech mozte hambit,1
fajn,0
Teraz zatlieskat volici cele zleeee uroven ziadna,0
Ludia zamienaju pokrsteny automaticky veriaci Omyl neveris x krsteny ludia daju kolonky podporuju cirkev nadavaju stat podporujeme,1
keby hlavu postavil neverim,0
Pozeram akurat ZezZeroZero replika you come first and fuck the rest uprimne odvazne bezte pice hlavne drzte huby teraz vladneme krajina zacina tazky grc,3
vizitka vlada prostrednictvom medii dokaze manipulovat ludmi slovac ludska blbost nema hranic,1
Hovado pekne zviera netvor igorko,3
neni mormalne hlava hlave da organizovat takto chore,1
chore niekto sediet chladku dlho zcernal,1
patri matovicovy spol,0
Ukrajinci,0
Napada jediny privlastok zacina P konci PapalaS,1
neplati zakaz zhromazdovania chore pandemia nesiri Hmmm,1
vyzera zakladnu skolu nejak neukoncil uspesne Utf,0
Matelko radost kolko ludi pojde ciernu zem,1
Matovic prec prec prec daleko nik nepozna nestastia privadzas horsie,0
chore stado,1
ovecky zvolili bohuzial,0
paci akonahle pojdem povinny test danom momente skoncil tvrdy lockdown datumom ziadna cvicena opica pokusny kralik,0
henta lesenarska banda najvacsi hnus vlade neuveritelne kolko kretenov dal Donovalman dokopy Kollar Holy perfektne robite ide nasieranie ludi obaja mimo verejnych funkcii hajzli,3
Chore deti vedu rodicov fakt chcu pomoct chore x chore,1
Minister opisal tazky priebeh covidu poslednych dnoch presiel prasaci vykal sefom opisali kadeco,0
ROBI HANBU SLOVENSKU NAJVYSSI CAS ODSTUPIT,0
neotvori oci volicom blba zvolili Bohom Slovensko,0
Raz skonci dufam vypisany lov skodnou,0
Vravi pan kram blazon cele statu takto vypada zmagoreny ludia,1
Zabite dementa Robi hanbu celemu SVK cele stou fialkou Pezinka,0
Podme podme porade nemusite predbiehat Matelko zariadil Chudata stare boja nevedia isli,1
papulu dovedie zahuby Nema vystupovani komunikacia bode mrazu,0
Debil debilny nevie hranice slusnosti boze kolko hanby narobi Slovakom,3
Matovic rozhoduje zena da,0
Figliar Stopka,0
Neorganizovany chaos podporu Covidu,1
Matovic teraz ide poupratovat,0
zapise ucebnic dejepisu najvacsi KKT Slovenskej politiky splnil sen case ist pekne liecit Niekde najlepsiu psycho kliniku sup sup zbal chod,3
Karma zdarma ide,0
vladne,0
Idiot Trnavy,3
Nepochopim komentare typu prostoreky povedal vela poukazovanie brepty politikov poznate podarilo dostat povedomie Slovensku uroven uplnych debilov reprezentuje clovek Matovic branite diplomaticky bonton nehovori Vrcholny politik nemoze prostoreky vyjadruje niecomu tyka medzinarodnych zalezitosti Hocijaky riaditel podniku vystupovanim kedykolvek dokaze zahanbit Ziadna firma chovanie svojmu vrcholnemu predstavitelovi netolerovala vyvodila dosledky nemusi posobit medzinarodnej scene Vrcholny politik riaditel sef akehokolvek institutu firmy banky hlavne statu splnat urcite kriteria riaditelom firmy niekto sustruhu upratovacka pozaduje prislusne vzdelanie odbore znalost problematiky reprezentativne vystupovanie celkovy prinos firmu Pochopili premier nemoze prinosom tychto beznych poziadaviek riadiacu funkciu nesplna Politika vysokej urovni trhovisko zovialnost mieste,0
Kkt,3
Uplne osprosteni blbi ludia,1
Matelko najvacsia hanba Slovenska,2
Crimea is Russia Ukraine will be Russia,0
SMIECH CELEMU SVETU,0
naozaj chori,1
Magor zas predviedol zas opat hanba,2
hanbit nestaraju,1
preslapov konte velmi vela Nema stipku svedomia tychto preslapoch odstupil,0
skola rozum,0
skapal spina myslel skape,3
mantaka treba vyjebat vlady priblbe reci hambou naroda,3
Chory narod hlavu,1
vymenu bral Slovensko Krym dobe urcite,0
Chore skoda slov,1
dobre vidno rodina Kollarom drzia Matovica gule prisiel ustavnu vacsinu Jeden preslap Sulika ide upalit hranici desat preslapov rodina nevadi stava raz Sulik vyjadril jednej relacii poucil chyby polozil Radicovej vladu otvoril dvere Smeru nezopakoval Matovic stale dovoli kopat,2
totalne chore,1
IGOR proste Kade chodis tade hanbu robis,0
kkt ospravedlnil aspon,3
Demisia teraz neskoro kkt premier najjeb premier kedy vymazat fb jeno usta nezavriete,3
Obycajni hajzli Holy Kollar Mikas Krajci okamzite odstupit,3
Chore ludom sibe totalne,1
nevedia nemozu pracovat kvoli vybaveniu vzdelaniu treba rozpustit cukor vode zbytocna institucia,0
Debili dajte vypracovat Madarska vedeni statu nenajde aspon jeden rozumny clovek ostatni blazni,3
Anna Hacajova nekst tajm,0
zvraceni dospelo slusny clovek tohle zazivat ostuda tech kteri maji chranit jsou uplne neschopni delaji slusnych lidi kriminalniky,1
neposral trepe robit,3
Dolezitejsie hromadne testovanie debilna vlada,0
Blbci arogantni,3
Covid opyta robil lete,0
Sk hahahahahahaha,0
ludia ciech poviem takto Sk testuju tyzden covid testami tvrdia vyjdu negativne neznamena negativny Pricom jedna sranda stoji eur behaju info dokonca koalicnych poslancov palickovanie usnymi tycinkami vyslo miliardu eur rok pripominam nemocnice zatazene dlhom niekde trstvrte miliardi miliarda Zaver niekto rozhodol nezmysle nakupil nezmysel potrebuje spotrebovat ohladu nato ucel plnit pridanu hodnotu danej situacii predstavovat ucel neplni slovenske palickovanie testovanie drogy vznika otazka obcana Odpoved vieme Treba uvedomit kseft nakup logistika skladovanie likvidacia odpadov,1
SUKL nema vybavenie kontrolu vakcin neviem odskusali predchadzajuce Vsetkych prepustit investovali miliony posledne roky pocitali lastovicky,0
Banda jedna odporna,3
otestuju Madarsku,0
same spekulacie nechcu nemaju hnusna politika,0
Chori poslanci nemali parlamente hladat porusili nariadenie platia ohrozuju ludi,1
jednoznacne SVINE takto obmedzovat cloveka videl treti prispevok policajti nevinnymi ludmi jednaju zverou krku neprijemnu chut srdce zlosti bije kostolny zvon,1
Test drogi zastavi hliadka urobit vasimi ocami niekde mimo,1
Nebolo skodu keby hlavny hygienik laskavo zverejnil vynimky den udelenia staci povedat novinarom clenovia vlady poslanci blizki vzdialeni pribuzni susedia domace zvierata dopln chces vynimku cokolvek ostatni idioti zasrani mudrosraci zidojasteri drepte doma pokorne suchajte nozickami,3
